,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
26,51,Linear,0.051129444241027056,896,4864,5.428571428571429,0.9008173204377393,18.261050552137394,9.18861800926424,2.569704239957568,0.40989280814630824,1.0315889119138693,True,3.1855266094207764,dense,9.331794099693859,3.043034553719036,0.5031812371927717,model.layers.3.mlp.up_proj,896,0.8066811409950259,1104.1664670696482,896,26,2,0,1,3.3851705227100037,1.0103830203812132,3.1855266094207764,346.61975944706313,success,1.784804344177246,0.12410258501768112,under-trained,0,3.1855266094207764,2.330767869949341
27,52,Linear,0.019441554462043764,896,4864,5.428571428571429,0.9123790082734491,5.072024077701291,5.091644647473829,2.4576208985571393,0.3920144255532199,1.0205113230276204,True,10.089470863342285,dense,5.2302237756081285,3.031957440442122,1.003868390502876,model.layers.3.mlp.down_proj,896,0.24358273410415662,1076.3597284331918,896,167,35,0,1,0.315102683476365,1.0007842709085102,10.089470863342285,106.68148439219853,success,3.1763927936553955,0.35168957710266113,,0,10.089470863342285,1.762899398803711
28,58,Linear,0.05228236778998174,896,896,1.0,1.498306765622691,6.816273805839515,5.380694099260266,1.832868277653021,0.0,0.9048360707972357,True,6.157286643981934,dense,5.711814035840408,2.601106528492332,0.7893893720423342,model.layers.4.self_attn.q_proj,896,0.2976746712684632,399.1227915520898,896,22,63,1,1,1.240033741925357,1.0142298128260219,6.157286643981934,64.82121340610124,success,2.4813880920410156,7.91163110989146e-05,under-trained,2,6.157286643981934,3.088181734085083
29,59,Linear,0.0552196317811009,128,896,7.0,1.1522529141506461,8.234454240924126,3.313559766376084,0.27085795290055803,0.05519451608016159,0.9513327126353479,True,2.5258169174194336,dense,3.457766712389548,1.9841143393128222,0.4024018677410507,model.layers.4.self_attn.k_proj,128,0.10723578222656259,96.40828100778162,128,19,94,0,1,1.6596976288346061,0.43519168652909657,2.5258169174194336,38.1691485011826,success,1.5892819166183472,0.07655058801174164,under-trained,0,2.5258169174194336,1.3479959964752197
30,60,Linear,0.06434147783688071,128,896,7.0,2.311251912387434,6.5186412640954465,-1.8553059456144803,0.35729888231056367,0.07280915584691898,0.9766444336458066,True,0.5192596316337585,dense,-1.3457468868972806,1.3795154026209562,-0.28461543908444087,model.layers.4.self_attn.v_proj,128,0.6880929318275444,23.96157729998231,128,25,4,0,1,1.1037282528190893,1.00259397794432,0.5192596316337585,46.14565785634336,success,0.7205967307090759,0.19064250588417053,under-trained,0,0.5192596316337585,0.27854907512664795
31,61,Linear,0.07010489914550239,896,896,1.0,2.0971870804137365,3.6377813800914263,2.1109513503846604,0.9315425630366875,0.0,0.9004123392530211,True,3.8043930530548096,dense,2.82479482528268,2.309033662448776,0.5802853799673929,model.layers.4.self_attn.o_proj,896,0.2448597056207659,203.71999762861637,896,39,52,1,1,0.4223830625354749,1.0120652876284177,3.8043930530548096,53.548619921129216,success,1.950485348701477,0.00015019072452560067,,2,3.8043930530548096,1.175520658493042
32,63,Linear,0.030866013957233096,896,4864,5.428571428571429,0.6625387829852338,4.691672583896316,7.456126390838258,4.216773222871671,0.6726163232184138,1.018422961292604,True,38.835208892822266,dense,7.463201308207457,3.3098853984263408,1.589225645547101,model.layers.4.mlp.gate_proj,896,0.10858119070529934,2041.1992421951145,896,158,54,0,1,0.2936937014910553,0.9519391078915291,38.835208892822266,52.56053206327365,success,6.231790065765381,0.1527327597141266,,0,38.835208892822266,3.3349337577819824
33,64,Linear,0.07306976477054905,896,4864,5.428571428571429,0.8493022023331472,8.5792824528441,8.327945471025018,2.826018937246014,0.45077749417635005,1.029119058168086,True,9.347687721252441,dense,8.329908786183722,3.094183509143853,0.9707041954615026,model.layers.4.mlp.up_proj,896,0.3023227798700332,1242.1770729478449,896,102,7,0,1,0.7504607898209806,0.9989816821415611,9.347687721252441,132.8860259338459,success,3.057398796081543,0.12862856686115265,under-trained,0,9.347687721252441,2.264653205871582
34,65,Linear,0.01867467732640546,896,4864,5.428571428571429,0.8652195997094728,5.367147356438492,5.942735709259058,2.592702753785149,0.4135612946862748,1.0233633841039194,True,12.800970077514648,dense,5.974405333001282,3.078055311869906,1.1072428824094205,model.layers.4.mlp.down_proj,896,0.20253955271244029,1196.8929582312703,896,67,43,0,1,0.5335319659581979,0.9747886281760907,12.800970077514648,93.50017623536631,success,3.5778443813323975,0.32234787940979004,,0,12.800970077514648,2.450439214706421
35,71,Linear,0.10393609888214378,896,896,1.0,1.517363736913841,6.082592256967318,4.451872186051196,1.8028353718640273,0.0,0.904762537585157,True,5.393910884857178,dense,5.0917217523902165,2.5901286081425026,0.7319037670085135,model.layers.5.self_attn.q_proj,896,0.3342352905616763,389.1603704568025,896,18,54,1,1,1.1979784836359433,1.0186799077350313,5.393910884857178,72.14809046054658,success,2.322479486465454,7.698605259065516e-06,under-trained,3,5.393910884857178,3.1738157272338867
